date,subways_total_estimated_ridership
2020-03-01,1999608
2020-03-01,2212965
2020-03-02,5329915
2020-03-02,1476228
2020-03-03,3265971
2020-03-03,5481103
2020-03-04,3596894
2020-03-04,5498809
2020-03-05,5496453
2020-03-05,3568413
2020-03-06,5189447
2020-03-06,3770495
2020-03-07,2814637
2020-03-07,3600504
2020-03-08,2120656
2020-03-08,2291687
2020-03-09,4973513
2020-03-09,1990479
2020-03-10,3481640
2020-03-10,4867818
2020-03-11,3753299
2020-03-11,4697122
2020-03-12,4149505
2020-03-12,3835333
2020-03-13,3931499
2020-03-13,3484996
2020-03-14,3710928
2020-03-14,1670665
2020-03-15,1157711
2020-03-15,2663493
2020-03-16,2178555
2020-03-16,1865579
2020-03-17,1788786
2020-03-17,3466978
2020-03-18,1625280
2020-03-18,3763568
2020-03-19,1422112
2020-03-19,3777173
2020-03-20,3726154
2020-03-20,1309125
2020-03-21,3270016
2020-03-21,619618
2020-03-22,408723
2020-03-22,2577771
2020-03-23,709499
2020-03-23,1967199
2020-03-24,3381411
2020-03-24,741587
2020-03-25,690032
2020-03-25,3586084
2020-03-26,680360
2020-03-26,3563236
2020-03-27,3187083
2020-03-27,656817
2020-03-28,332393
2020-03-28,2738016
2020-03-29,263700
2020-03-29,1411469
2020-03-30,545215
2020-03-30,1008452
2020-03-31,508106
2020-03-31,1812842
2020-04-01,2729514
2020-04-01,513481
2020-04-02,485586
2020-04-02,2947028
2020-04-03,3039432
2020-04-03,483357
2020-04-04,3063480
2020-04-04,282278
2020-04-05,1927101
2020-04-05,227303
2020-04-06,1675507
2020-04-06,445454
2020-04-07,434986
2020-04-07,1938154
2020-04-08,427485
2020-04-08,3175777
2020-04-09,404635
2020-04-09,3413052
2020-04-10,3428520
2020-04-10,400275
2020-04-11,257061
2020-04-11,3229858
2020-04-12,198399
2020-04-12,2116138
2020-04-13,363312
2020-04-13,1610764
2020-04-14,3145743
2020-04-14,430155
2020-04-15,3469177
2020-04-15,419059
2020-04-16,3508962
2020-04-16,420223
2020-04-17,3472709
2020-04-17,432368
2020-04-18,254453
2020-04-18,3270020
2020-04-19,224411
2020-04-19,2072387
2020-04-20,1705804
2020-04-20,437852
2020-04-21,2172218
2020-04-21,422107
2020-04-22,3451604
2020-04-22,458781
2020-04-23,453520
2020-04-23,3603344
2020-04-24,443956
2020-04-24,3492226
2020-04-25,3375887
2020-04-25,295387
2020-04-26,218787
2020-04-26,2137169
2020-04-27,1593386
2020-04-27,462888
2020-04-28,3135214
2020-04-28,489247
2020-04-29,3566756
2020-04-29,477799
2020-04-30,3511071
2020-04-30,465869
2020-05-01,494549
2020-05-01,3629029
2020-05-02,3335372
2020-05-02,325865
2020-05-03,258865
2020-05-03,2248107
2020-05-04,511866
2020-05-04,1637398
2020-05-05,522085
2020-05-05,3223530
2020-05-06,508824
2020-05-06,3654404
2020-05-07,535073
2020-05-07,3682758
2020-05-08,526054
2020-05-08,3699932
2020-05-09,316883
2020-05-09,3189550
2020-05-10,271947
2020-05-10,1742435
2020-05-11,520873
2020-05-11,1625375
2020-05-12,3372445
2020-05-12,553372
2020-05-13,3738539
2020-05-13,565377
2020-05-14,3780682
2020-05-14,567392
2020-05-15,587808
2020-05-15,3754859
2020-05-16,3539529
2020-05-16,360844
2020-05-17,287418
2020-05-17,2333625
2020-05-18,595469
2020-05-18,1746099
2020-05-19,3303337
2020-05-19,610884
2020-05-20,3812943
2020-05-20,623749
2020-05-21,3762817
2020-05-21,629298
2020-05-22,3683782
2020-05-22,633883
2020-05-23,3253165
2020-05-23,335830
2020-05-24,2271106
2020-05-24,320015
2020-05-25,1824136
2020-05-25,393918
2020-05-26,2238557
2020-05-26,656766
2020-05-27,674465
2020-05-27,3325542
2020-05-28,658057
2020-05-28,3454362
2020-05-29,657259
2020-05-29,3498367
2020-05-30,426737
2020-05-30,3246699
2020-05-31,2043635
2020-05-31,344426
2020-06-01,1625191
2020-06-01,687162
2020-06-02,693760
2020-06-02,3337916
2020-06-03,3412079
2020-06-03,681714
2020-06-04,3780713
2020-06-04,726672
2020-06-05,3765925
2020-06-05,703576
2020-06-06,464198
2020-06-06,3481830
2020-06-07,377990
2020-06-07,2173217
2020-06-08,1772121
2020-06-08,804542
2020-06-09,842306
2020-06-09,3427019
2020-06-10,857015
2020-06-10,3773780
2020-06-11,818297
2020-06-11,3842861
2020-06-12,3827656
2020-06-12,896658
2020-06-13,545316
2020-06-13,3502339
2020-06-14,2230530
2020-06-14,430439
2020-06-15,897112
2020-06-15,1773585
2020-06-16,3352388
2020-06-16,932671
2020-06-17,948461
2020-06-17,3577250
2020-06-18,3912366
2020-06-18,942382
2020-06-19,986929
2020-06-19,3949788
2020-06-20,576075
2020-06-20,3661519
2020-06-21,2417873
2020-06-21,449497
2020-06-22,1000046
2020-06-22,1894476
2020-06-23,3442589
2020-06-23,1050786
2020-06-24,3801084
2020-06-24,1068333
2020-06-25,1078796
2020-06-25,3797399
2020-06-26,1102382
2020-06-26,3774396
2020-06-27,3534300
2020-06-27,615398
2020-06-28,2153554
2020-06-28,535898
2020-06-29,1939984
2020-06-29,1100769
2020-06-30,3397258
2020-06-30,1113124
2020-07-01,3765920
2020-07-01,1120537
2020-07-02,3872948
2020-07-02,1170483
2020-07-03,851877
2020-07-03,3860289
2020-07-04,591605
2020-07-04,3573735
2020-07-05,2283533
2020-07-05,533692
2020-07-06,1949665
2020-07-06,1084956
2020-07-07,3597785
2020-07-07,1157185
2020-07-08,1172279
2020-07-08,3906882
2020-07-09,1211280
2020-07-09,3799965
2020-07-10,1030632
2020-07-10,3421271
2020-07-11,692977
2020-07-11,3130675
2020-07-12,628187
2020-07-12,2393347
2020-07-13,1175700
2020-07-13,1855826
2020-07-14,1241080
2020-07-14,3142740
2020-07-15,1248413
2020-07-15,3537843
2020-07-16,1249128
2020-07-16,3576687
2020-07-17,1207265
2020-07-17,3628304
2020-07-18,3471420
2020-07-18,778936
2020-07-19,2365464
2020-07-19,584994
2020-07-20,1864753
2020-07-20,1156735
2020-07-21,3418834
2020-07-21,1241819
2020-07-22,3862133
2020-07-22,1233668
2020-07-23,3927706
2020-07-23,1233795
2020-07-24,4002433
2020-07-24,1218138
2020-07-25,816604
2020-07-25,3492257
2020-07-26,606910
2020-07-26,2506140
2020-07-27,1923243
2020-07-27,1203503
2020-07-28,3561262
2020-07-28,1241770
2020-07-29,1296102
2020-07-29,3956922
2020-07-30,3994837
2020-07-30,1270172
2020-07-31,1258539
2020-07-31,3999831
2020-08-01,842468
2020-08-01,3703088
2020-08-02,2179978
2020-08-02,590060
2020-08-03,1744098
2020-08-03,1272996
2020-08-04,1027187
2020-08-04,3664755
2020-08-05,1348202
2020-08-05,3961858
2020-08-06,1334694
2020-08-06,4030601
2020-08-07,1283894
2020-08-07,3985001
2020-08-08,3759375
2020-08-08,833287
2020-08-09,662993
2020-08-09,2563102
2020-08-10,1275268
2020-08-10,2033790
2020-08-11,1319814
2020-08-11,3563340
2020-08-12,1298963
2020-08-12,3925555
2020-08-13,1291277
2020-08-13,4014009
2020-08-14,1355786
2020-08-14,4015942
2020-08-15,860789
2020-08-15,3723192
2020-08-16,554451
2020-08-16,2487178
2020-08-17,1926966
2020-08-17,1304485
2020-08-18,1369617
2020-08-18,3553443
2020-08-19,1292148
2020-08-19,4002015
2020-08-20,1410489
2020-08-20,4104786
2020-08-21,1387463
2020-08-21,4082154
2020-08-22,3789929
2020-08-22,882522
2020-08-23,2314672
2020-08-23,671560
2020-08-24,2132724
2020-08-24,1307345
2020-08-25,3571748
2020-08-25,1346490
2020-08-26,3929003
2020-08-26,1407639
2020-08-27,3960264
2020-08-27,1358272
2020-08-28,3859385
2020-08-28,1388583
2020-08-29,3496511
2020-08-29,773667
2020-08-30,2375741
2020-08-30,748061
2020-08-31,2029088
2020-08-31,1397264
2020-09-01,1952779
2020-09-01,1469274
2020-09-02,1487969
2020-09-02,3714864
2020-09-03,1529185
2020-09-03,3911382
2020-09-04,1568385
2020-09-04,3894167
2020-09-05,3626490
2020-09-05,1013725
2020-09-06,2411704
2020-09-06,819409
2020-09-07,1988330
2020-09-07,870964
2020-09-08,3544106
2020-09-08,1555816
2020-09-09,3929131
2020-09-09,1610076
2020-09-10,1543662
2020-09-10,3743889
2020-09-11,1690334
2020-09-11,3268529
2020-09-12,1083698
2020-09-12,3425232
2020-09-13,2608756
2020-09-13,796740
2020-09-14,2075651
2020-09-14,1604381
2020-09-15,3479404
2020-09-15,1678078
2020-09-16,3968160
2020-09-16,1686909
2020-09-17,3893073
2020-09-17,1692368
2020-09-18,3928393
2020-09-18,1725443
2020-09-19,3395938
2020-09-19,1136947
2020-09-20,827605
2020-09-20,2399521
2020-09-21,1977582
2020-09-21,1624139
2020-09-22,1698504
2020-09-22,2636887
2020-09-23,3782810
2020-09-23,1735333
2020-09-24,1722364
2020-09-24,3902298
2020-09-25,1761591
2020-09-25,3782472
2020-09-26,3470575
2020-09-26,1120143
2020-09-27,2467994
2020-09-27,846179
2020-09-28,2222704
2020-09-28,1489240
2020-09-29,1661264
2020-09-29,3341322
2020-09-30,3744227
2020-09-30,1740820
2020-10-01,3634270
2020-10-01,1809958
2020-10-02,3653631
2020-10-02,1790612
2020-10-03,3259767
2020-10-03,1168040
2020-10-04,2239529
2020-10-04,852830
2020-10-05,1783757
2020-10-05,1678792
2020-10-06,2662052
2020-10-06,1758454
2020-10-07,1770617
2020-10-07,1791179
2020-10-08,3318379
2020-10-08,1798005
2020-10-09,1808079
2020-10-09,3494806
2020-10-10,3292266
2020-10-10,1170227
2020-10-11,848469
2020-10-11,2308794
2020-10-12,1284655
2020-10-12,1776607
2020-10-13,1715183
2020-10-13,3208730
2020-10-14,1838682
2020-10-14,3613670
2020-10-15,3696737
2020-10-15,1853753
2020-10-16,3648007
2020-10-16,1671320
2020-10-17,1209473
2020-10-17,3209393
2020-10-18,896812
2020-10-18,2326054
2020-10-19,1719153
2020-10-19,1599858
2020-10-20,3282092
2020-10-20,1780231
2020-10-21,1812949
2020-10-21,3584819
2020-10-22,1825208
2020-10-22,3679343
2020-10-23,1842588
2020-10-23,3711017
2020-10-24,3227154
2020-10-24,1185612
2020-10-25,885001
2020-10-25,2459990
2020-10-26,1984503
2020-10-26,1690651
2020-10-27,3255379
2020-10-27,1815242
2020-10-28,3630414
2020-10-28,1819352
2020-10-29,1705072
2020-10-29,3758378
2020-10-30,1768018
2020-10-30,3580012
2020-10-31,3266199
2020-10-31,1174059
2020-11-01,2251524
2020-11-01,786675
2020-11-02,1747908
2020-11-02,1952433
2020-11-03,1602912
2020-11-03,3204920
2020-11-04,3598379
2020-11-04,1690489
2020-11-05,3640307
2020-11-05,1793796
2020-11-06,1837314
2020-11-06,3609076
2020-11-07,1246321
2020-11-07,3228510
2020-11-08,2364364
2020-11-08,927670
2020-11-09,1752614
2020-11-09,1910841
2020-11-10,3041001
2020-11-10,1836902
2020-11-11,1614812
2020-11-11,3510047
2020-11-12,3613062
2020-11-12,1776666
2020-11-13,3429304
2020-11-13,1816693
2020-11-14,3311714
2020-11-14,1215477
2020-11-15,2366787
2020-11-15,820858
2020-11-16,1953558
2020-11-16,1741750
2020-11-17,3092801
2020-11-17,1788847
2020-11-18,3385996
2020-11-18,1787688
2020-11-19,3447648
2020-11-19,1757535
2020-11-20,3385056
2020-11-20,1800423
2020-11-21,3182516
2020-11-21,1157957
2020-11-22,817963
2020-11-22,2358962
2020-11-23,1870625
2020-11-23,1646525
2020-11-24,2971166
2020-11-24,1735702
2020-11-25,1688227
2020-11-25,3352769
2020-11-26,3412842
2020-11-26,652276
2020-11-27,3297927
2020-11-27,1263473
2020-11-28,3034255
2020-11-28,1032823
2020-11-29,2281885
2020-11-29,826974
2020-11-30,1909806
2020-11-30,1459131
2020-12-01,3121505
2020-12-01,1706348
2020-12-02,3401088
2020-12-02,1699968
2020-12-03,1736045
2020-12-03,3462970
2020-12-04,1701628
2020-12-04,3450532
2020-12-05,3196284
2020-12-05,1000240
2020-12-06,2307416
2020-12-06,878393
2020-12-07,1656627
2020-12-07,2013506
2020-12-08,1879819
2020-12-08,1540893
2020-12-09,1701926
2020-12-09,3483755
2020-12-10,1761336
2020-12-10,3712071
2020-12-11,1786290
2020-12-11,3867746
2020-12-12,3609701
2020-12-12,1091352
2020-12-13,2425515
2020-12-13,911439
2020-12-14,1822230
2020-12-14,1584089
2020-12-15,1783388
2020-12-15,3596538
2020-12-16,4014480
2020-12-16,1569079
2020-12-17,3938516
2020-12-17,1079818
2020-12-18,4045169
2020-12-18,1735664
2020-12-19,1112827
2020-12-19,3694845
2020-12-20,2446139
2020-12-20,821265
2020-12-21,1716035
2020-12-21,1988003
2020-12-22,1760948
2020-12-22,3539047
2020-12-23,1772537
2020-12-23,4140301
2020-12-24,1312480
2020-12-24,4179861
2020-12-25,4139288
2020-12-25,485208
2020-12-26,879170
2020-12-26,3840412
2020-12-27,760350
2020-12-27,2116140
2020-12-28,1701656
2020-12-28,1510168
2020-12-29,1555198
2020-12-29,2885921
2020-12-30,3946624
2020-12-30,1582486
2020-12-31,1274984
2020-12-31,4074930
2021-01-01,4051444
2021-01-01,613692
2021-01-02,988418
2021-01-02,2467295
2021-01-03,653187
2021-01-03,2205573
2021-01-04,1557977
2021-01-04,1995361
2021-01-05,1597518
2021-01-05,3649389
2021-01-06,4008201
2021-01-06,1613629
2021-01-07,4026878
2021-01-07,1611099
2021-01-08,4030304
2021-01-08,1619242
2021-01-09,3639729
2021-01-09,990412
2021-01-10,2199478
2021-01-10,763097
2021-01-11,2044534
2021-01-11,1568207
2021-01-12,2833654
2021-01-12,1640428
2021-01-13,1641652
2021-01-13,3954925
2021-01-14,4056504
2021-01-14,1647396
2021-01-15,1627120
2021-01-15,4104598
2021-01-16,991500
2021-01-16,3560964
2021-01-17,797654
2021-01-17,2219786
2021-01-18,2013096
2021-01-18,1276978
2021-01-19,1635915
2021-01-19,3661144
2021-01-20,1575075
2021-01-20,4021342
2021-01-21,1652842
2021-01-21,4074460
2021-01-22,4121563
2021-01-22,1672001
2021-01-23,997551
2021-01-23,3616336
2021-01-24,741139
2021-01-24,2438387
2021-01-25,1592468
2021-01-25,1983271
2021-01-26,1550953
2021-01-26,3667240
2021-01-27,1660278
2021-01-27,4040571
2021-01-28,1646806
2021-01-28,4120011
2021-01-29,1511680
2021-01-29,4142420
2021-01-30,3853546
2021-01-30,942615
2021-01-31,2743759
2021-01-31,722853
2021-02-01,1834459
2021-02-01,583230
2021-02-02,3623778
2021-02-02,1005985
2021-02-03,4016482
2021-02-03,1702598
2021-02-04,4043524
2021-02-04,1785833
2021-02-05,4082807
2021-02-05,1741015
2021-02-06,3808235
2021-02-06,1148477
2021-02-07,2588115
2021-02-07,652521
2021-02-08,2310457
2021-02-08,1639753
2021-02-09,3686141
2021-02-09,1666467
2021-02-10,3655078
2021-02-10,1750121
2021-02-11,1714656
2021-02-11,4066029
2021-02-12,4020939
2021-02-12,1706430
2021-02-13,1092063
2021-02-13,3611367
2021-02-14,858014
2021-02-14,2588540
2021-02-15,1218593
2021-02-15,1947270
2021-02-16,1627528
2021-02-16,3597029
2021-02-17,3991767
2021-02-17,1733160
2021-02-18,4036442
2021-02-18,1381886
2021-02-19,4048862
2021-02-19,1566021
2021-02-20,3741391
2021-02-20,1110589
2021-02-21,836095
2021-02-21,2477547
2021-02-22,1582054
2021-02-22,1943926
2021-02-23,3647283
2021-02-23,1730198
2021-02-24,1806306
2021-02-24,3774952
2021-02-25,1798165
2021-02-25,3378351
2021-02-26,1822812
2021-02-26,1628385
2021-02-27,2457591
2021-02-27,1072932
2021-02-28,810071
2021-02-28,2123590
2021-03-01,1696274
2021-03-01,1686490
2021-03-02,1749511
2021-03-02,3523494
2021-03-03,1846431
2021-03-03,3916476
2021-03-04,4032882
2021-03-04,1808744
2021-03-05,4072271
2021-03-05,1825915
2021-03-06,1167884
2021-03-06,3723171
2021-03-07,2748170
2021-03-07,894119
2021-03-08,1827959
2021-03-08,1719586
2021-03-09,1834068
2021-03-09,3709458
2021-03-10,3991835
2021-03-10,1849077
2021-03-11,4116059
2021-03-11,1881902
2021-03-12,4088438
2021-03-12,1914465
2021-03-13,1257372
2021-03-13,3863961
2021-03-14,923968
2021-03-14,2922085
2021-03-15,1838048
2021-03-15,1730024
2021-03-16,1798288
2021-03-16,3642743
2021-03-17,1866414
2021-03-17,4051574
2021-03-18,1771092
2021-03-18,4067457
2021-03-19,4122091
2021-03-19,1906749
2021-03-20,1307403
2021-03-20,3845234
2021-03-21,2866544
2021-03-21,1013386
2021-03-22,1801438
2021-03-22,1954707
2021-03-23,1879574
2021-03-23,3314782
2021-03-24,1828084
2021-03-24,3912934
2021-03-25,1925768
2021-03-25,3838407
2021-03-26,1938246
2021-03-26,3675448
2021-03-27,1374266
2021-03-27,3372318
2021-03-28,2244175
2021-03-28,807247
2021-03-29,1657096
2021-03-29,1742162
2021-03-30,1881537
2021-03-30,1273729
2021-03-31,1808546
2021-03-31,2668642
2021-04-01,1841815
2021-04-01,2912007
2021-04-02,3064841
2021-04-02,1757698
2021-04-03,3198885
2021-04-03,1318461
2021-04-04,2440211
2021-04-04,950194
2021-04-05,1934651
2021-04-05,1818703
2021-04-06,1942198
2021-04-06,1648734
2021-04-07,3290639
2021-04-07,1985370
2021-04-08,2013413
2021-04-08,3555082
2021-04-09,3560703
2021-04-09,2026724
2021-04-10,1391245
2021-04-10,3263064
2021-04-11,899646
2021-04-11,1942458
2021-04-12,1845836
2021-04-12,1472438
2021-04-13,3303727
2021-04-13,2012153
2021-04-14,2018126
2021-04-14,3353192
2021-04-15,1906733
2021-04-15,3557166
2021-04-16,3688916
2021-04-16,2078856
2021-04-17,3365791
2021-04-17,1425036
2021-04-18,2167383
2021-04-18,1082503
2021-04-19,1743556
2021-04-19,1911326
2021-04-20,2082495
2021-04-20,2169917
2021-04-21,3235935
2021-04-21,1965922
2021-04-22,2040232
2021-04-22,3616923
2021-04-23,2121350
2021-04-23,3655850
2021-04-24,1520057
2021-04-24,3176408
2021-04-25,2024041
2021-04-25,985027
2021-04-26,1576126
2021-04-26,1955370
2021-04-27,2041698
2021-04-27,3305387
2021-04-28,3652488
2021-04-28,2135793
2021-04-29,2028524
2021-04-29,3666907
2021-04-30,2159476
2021-04-30,3681867
2021-05-01,1515211
2021-05-01,3380816
2021-05-02,1153471
2021-05-02,2283244
2021-05-03,1971010
2021-05-03,1549077
2021-05-04,2120071
2021-05-04,3297571
2021-05-05,2074543
2021-05-05,3717520
2021-05-06,2199943
2021-05-06,3808584
2021-05-07,2238033
2021-05-07,3814682
2021-05-08,1444674
2021-05-08,3457807
2021-05-09,2324038
2021-05-09,1107878
2021-05-10,1990039
2021-05-10,1742107
2021-05-11,3481777
2021-05-11,2148322
2021-05-12,2182277
2021-05-12,3857533
2021-05-13,3900992
2021-05-13,2163052
2021-05-14,2266974
2021-05-14,3903673
2021-05-15,3547321
2021-05-15,1637231
2021-05-16,2385448
2021-05-16,1201904
2021-05-17,1774698
2021-05-17,2022584
2021-05-18,3374596
2021-05-18,2150049
2021-05-19,2257549
2021-05-19,2273584
2021-05-20,2269471
2021-05-20,3963628
2021-05-21,2331876
2021-05-21,3874860
2021-05-22,3504536
2021-05-22,1645268
2021-05-23,1268928
2021-05-23,2178047
2021-05-24,1850840
2021-05-24,2118877
2021-05-25,2244741
2021-05-25,2270945
2021-05-26,2275882
2021-05-26,3490990
2021-05-27,3591484
2021-05-27,2352019
2021-05-28,3588173
2021-05-28,2232599
2021-05-29,3219121
2021-05-29,1370135
2021-05-30,2308808
2021-05-30,1065176
2021-05-31,1740477
2021-05-31,1389651
2021-06-01,2258831
2021-06-01,3439079
2021-06-02,2343745
2021-06-02,3802458
2021-06-03,3784177
2021-06-03,2233917
2021-06-04,3905888
2021-06-04,2310032
2021-06-05,1792204
2021-06-05,3573658
2021-06-06,1363344
2021-06-06,2094029
2021-06-07,2223265
2021-06-07,1961510
2021-06-08,2265591
2021-06-08,3539671
2021-06-09,2386026
2021-06-09,3819514
2021-06-10,3865589
2021-06-10,2473818
2021-06-11,2468258
2021-06-11,3893731
2021-06-12,3685219
2021-06-12,1775538
2021-06-13,1379959
2021-06-13,2128635
2021-06-14,2223186
2021-06-14,1803578
2021-06-15,3497588
2021-06-15,2469785
2021-06-16,3988438
2021-06-16,2519444
2021-06-17,4024943
2021-06-17,2552497
2021-06-18,2572013
2021-06-18,4049186
2021-06-19,3643013
2021-06-19,1784312
2021-06-20,2553056
2021-06-20,1389352
2021-06-21,2264368
2021-06-21,1972170
2021-06-22,3482565
2021-06-22,2354873
2021-06-23,2547416
2021-06-23,3869116
2021-06-24,3886104
2021-06-24,2552639
2021-06-25,2582713
2021-06-25,3862248
2021-06-26,1854179
2021-06-26,3581959
2021-06-27,1863863
2021-06-27,1559967
2021-06-28,2252362
2021-06-28,1912946
2021-06-29,3583716
2021-06-29,2343739
2021-06-30,3969793
2021-06-30,2346388
2021-07-01,2292461
2021-07-01,4014011
2021-07-02,3910547
2021-07-02,2296044
2021-07-03,3372535
2021-07-03,1541988
2021-07-04,1468510
2021-07-04,2526569
2021-07-05,1495709
2021-07-05,1936295
2021-07-06,2302002
2021-07-06,3321989
2021-07-07,3900061
2021-07-07,2437064
2021-07-08,2364250
2021-07-08,3890305
2021-07-09,2318387
2021-07-09,4100733
2021-07-10,1781717
2021-07-10,3800800
2021-07-11,1365854
2021-07-11,2477127
2021-07-12,2245412
2021-07-12,1899641
2021-07-13,3506719
2021-07-13,2457526
2021-07-14,4042674
2021-07-14,2517615
2021-07-15,2581582
2021-07-15,3791945
2021-07-16,2536569
2021-07-16,4000485
2021-07-17,1717480
2021-07-17,3668439
2021-07-18,2535112
2021-07-18,1405344
2021-07-19,2068885
2021-07-19,2327756
2021-07-20,2462002
2021-07-20,3704177
2021-07-21,4033514
2021-07-21,2504568
2021-07-22,2582151
2021-07-22,4021256
2021-07-23,3966226
2021-07-23,2552330
2021-07-24,1852402
2021-07-24,3705782
2021-07-25,2537525
2021-07-25,1364830
2021-07-26,1918237
2021-07-26,2318455
2021-07-27,3219677
2021-07-27,2487947
2021-07-28,2534756
2021-07-28,3522218
2021-07-29,2428764
2021-07-29,3608010
2021-07-30,2557677
2021-07-30,3723894
2021-07-31,3431590
2021-07-31,1841007
2021-08-01,2506779
2021-08-01,1351294
2021-08-02,2084950
2021-08-02,2333923
2021-08-03,3323706
2021-08-03,2483802
2021-08-04,3638986
2021-08-04,2529002
2021-08-05,4032791
2021-08-05,2529190
2021-08-06,4061242
2021-08-06,2519444
2021-08-07,3780888
2021-08-07,1780458
2021-08-08,2563658
2021-08-08,1333885
2021-08-09,1889174
2021-08-09,2289434
2021-08-10,3652105
2021-08-10,2442194
2021-08-11,4098321
2021-08-11,2475949
2021-08-12,4087477
2021-08-12,2448589
2021-08-13,2430102
2021-08-13,4086528
2021-08-14,1718222
2021-08-14,3677268
2021-08-15,1430620
2021-08-15,2648580
2021-08-16,2287627
2021-08-16,1858872
2021-08-17,2427611
2021-08-17,3703066
2021-08-18,4116655
2021-08-18,2445638
2021-08-19,2439624
2021-08-19,4114615
2021-08-20,4105026
2021-08-20,2456334
2021-08-21,3816914
2021-08-21,1715030
2021-08-22,2691368
2021-08-22,745240
2021-08-23,2121485
2021-08-23,2052669
2021-08-24,2462365
2021-08-24,3682061
2021-08-25,2498255
2021-08-25,4029557
2021-08-26,2480137
2021-08-26,4104021
2021-08-27,2388210
2021-08-27,3863099
2021-08-28,3583244
2021-08-28,1659434
2021-08-29,1398566
2021-08-29,2347159
2021-08-30,2019012
2021-08-30,2321000
2021-08-31,1667890
2021-08-31,2532584
2021-09-01,3825781
2021-09-01,2294448
2021-09-02,1661558
2021-09-02,4006764
2021-09-03,2390392
2021-09-03,3979959
2021-09-04,3688627
2021-09-04,1777639
2021-09-05,1415352
2021-09-05,2446153
2021-09-06,1521388
2021-09-06,1978037
2021-09-07,3611491
2021-09-07,2233674
2021-09-08,3979793
2021-09-08,2529619
2021-09-09,4051943
2021-09-09,2702713
2021-09-10,3774324
2021-09-10,2840443
2021-09-11,3752412
2021-09-11,1983091
2021-09-12,1589976
2021-09-12,2673220
2021-09-13,2134551
2021-09-13,2852796
2021-09-14,3011275
2021-09-14,3702212
2021-09-15,3995425
2021-09-15,2987334
2021-09-16,3977760
2021-09-16,2534545
2021-09-17,3028545
2021-09-17,3936941
2021-09-18,2014848
2021-09-18,3517062
2021-09-19,1596823
2021-09-19,2431810
2021-09-20,2883211
2021-09-20,1897201
2021-09-21,3325104
2021-09-21,3018312
2021-09-22,3920839
2021-09-22,3021113
2021-09-23,3046320
2021-09-23,3016106
2021-09-24,3857797
2021-09-24,3121747
2021-09-25,3500365
2021-09-25,2129492
2021-09-26,2385207
2021-09-26,1614677
2021-09-27,1908786
2021-09-27,2873368
2021-09-28,3467845
2021-09-28,2927715
2021-09-29,3831447
2021-09-29,3063720
2021-09-30,3901100
2021-09-30,3146861
2021-10-01,3162881
2021-10-01,3776811
2021-10-02,2063660
2021-10-02,3522732
2021-10-03,1575738
2021-10-03,2454997
2021-10-04,2002269
2021-10-04,2864349
2021-10-05,3091160
2021-10-05,3273546
2021-10-06,3542073
2021-10-06,3140986
2021-10-07,3190747
2021-10-07,3409357
2021-10-08,1992244
2021-10-08,3168473
2021-10-09,2052699
2021-10-09,2700734
2021-10-10,2100877
2021-10-10,1499385
2021-10-11,1804572
2021-10-11,2263615
2021-10-12,3228784
2021-10-12,3102879
2021-10-13,3605032
2021-10-13,3157457
2021-10-14,3691835
2021-10-14,3240686
2021-10-15,3227068
2021-10-15,3688029
2021-10-16,2042027
2021-10-16,3261074
2021-10-17,1629991
2021-10-17,2203283
2021-10-18,2982883
2021-10-18,1869670
2021-10-19,3259800
2021-10-19,3178208
2021-10-20,3234327
2021-10-20,3594150
2021-10-21,3267697
2021-10-21,3651756
2021-10-22,3225816
2021-10-22,3637826
2021-10-23,2077488
2021-10-23,3372874
2021-10-24,2269647
2021-10-24,1599927
2021-10-25,1877704
2021-10-25,2994936
2021-10-26,2702635
2021-10-26,3235343
2021-10-27,3606656
2021-10-27,3300580
2021-10-28,3656472
2021-10-28,3365971
2021-10-29,3638351
2021-10-29,3251779
2021-10-30,3288849
