date,subways_total_estimated_ridership,subways_of_comparable_pre_pandemic_day,buses_total_estimated_ridersip,buses_of_comparable_pre_pandemic_day,lirr_total_estimated_ridership,lirr_of_comparable_pre_pandemic_day,metro_north_total_estimated_ridership,metro_north_of_comparable_pre_pandemic_day,access_a_ride_total_scheduled_trips,access_a_ride_of_comparable_pre_pandemic_day,bridges_and_tunnels_total_traffic,bridges_and_tunnels_of_comparable_pre_pandemic_day,staten_island_railway_total_estimated_ridership,staten_island_railway_of_comparable_pre_pandemic_day
2022-11-26T00:00:00.000,1999608,0.63,781665,0.59,105304,0.91,106685,0.71,12576,0.74,852829,0.94,2286,0.66
2022-11-27T00:00:00.000,1476228,0.59,562073,0.56,79973,0.85,76680,0.74,13063,0.69,814703,0.99,1408,0.46
2022-11-28T00:00:00.000,3265971,0.58,1397963,0.64,186710,0.57,163694,0.57,24969,0.80,904337,0.96,7120,0.42
2022-11-29T00:00:00.000,3596894,0.64,1455294,0.66,192494,0.59,181370,0.63,27009,0.87,891057,0.94,7510,0.44
2022-11-30T00:00:00.000,3568413,0.63,1356729,0.62,189152,0.58,177367,0.62,26469,0.85,857882,0.91,7204,0.42
2022-12-01T00:00:00.000,3770495,0.71,1459934,0.73,181825,0.58,166856,0.60,27018,0.93,931376,1.05,7538,0.48
2022-12-02T00:00:00.000,3600504,0.67,1395642,0.70,172860,0.55,152746,0.55,27007,0.93,933219,1.05,6576,0.42
2022-12-03T00:00:00.000,2291687,0.69,760109,0.60,87730,0.68,89976,0.57,15540,0.90,815868,0.92,1467,0.30
2022-12-04T00:00:00.000,1990479,0.78,681713,0.70,81381,0.76,80173,0.75,15763,0.88,804122,1.01,1266,0.37
2022-12-05T00:00:00.000,3481640,0.65,1429308,0.71,183238,0.58,164873,0.59,26409,0.91,873767,0.99,7013,0.45
2022-12-06T00:00:00.000,3753299,0.70,1414979,0.71,195892,0.62,178862,0.64,27305,0.94,878388,0.99,7447,0.48
2022-12-07T00:00:00.000,3835333,0.72,1442871,0.72,194436,0.62,178345,0.64,27941,0.96,899007,1.01,7526,0.48
2022-12-08T00:00:00.000,3931499,0.74,1480877,0.74,192958,0.61,182314,0.65,28292,0.97,948091,1.07,7541,0.48
2022-12-09T00:00:00.000,3710928,0.69,1386473,0.69,185104,0.59,165147,0.59,26213,0.90,964167,1.09,6379,0.41
2022-12-10T00:00:00.000,2663493,0.80,869320,0.69,112142,0.88,119858,0.76,16232,0.94,900034,1.02,1873,0.38
2022-12-11T00:00:00.000,1865579,0.73,618870,0.63,77607,0.73,74273,0.69,14949,0.84,777867,0.98,1103,0.32
2022-12-12T00:00:00.000,3466978,0.65,1384864,0.69,182973,0.58,163516,0.59,25771,0.88,876300,0.99,6838,0.44
2022-12-13T00:00:00.000,3763568,0.70,1437228,0.72,197613,0.63,183214,0.66,28234,0.97,908198,1.03,7570,0.49
2022-12-14T00:00:00.000,3777173,0.71,1435020,0.72,196921,0.62,183484,0.66,29081,1.00,940858,1.06,7400,0.47
2022-12-15T00:00:00.000,3726154,0.70,1363160,0.68,191261,0.61,173709,0.62,27034,0.93,931870,1.05,7001,0.45
2022-12-16T00:00:00.000,3270016,0.61,1221634,0.61,170615,0.54,151244,0.54,24074,0.83,917332,1.04,5823,0.37
2022-12-17T00:00:00.000,2577771,0.78,884283,0.70,114272,0.89,123286,0.78,16788,0.97,933667,1.06,2071,0.42
2022-12-18T00:00:00.000,1967199,0.77,668994,0.68,87146,0.82,87425,0.81,16036,0.90,842911,1.06,1487,0.44
2022-12-19T00:00:00.000,3381411,0.63,1352455,0.68,178278,0.56,159383,0.57,25529,0.88,886717,1.00,6591,0.42
2022-12-20T00:00:00.000,3586084,0.67,1398728,0.70,191991,0.61,173346,0.62,27148,0.93,923333,1.04,7046,0.45
2022-12-21T00:00:00.000,3563236,0.67,1393290,0.70,191684,0.61,168379,0.60,28480,0.98,953676,1.08,6993,0.45
2022-12-22T00:00:00.000,3187083,0.60,1269330,0.63,177675,0.56,147366,0.53,25244,0.87,936662,1.06,5728,0.37
2022-12-23T00:00:00.000,2738016,0.51,1057686,0.53,163716,0.52,138857,0.50,20359,0.70,812831,0.92,4523,0.29
2022-12-24T00:00:00.000,1411469,0.43,497129,0.39,61701,0.48,60373,0.38,12759,0.74,746316,0.84,1304,0.26
2022-12-25T00:00:00.000,1008452,0.40,321245,0.33,51896,0.49,47454,0.44,13709,0.77,730783,0.92,1005,0.30
2022-12-26T00:00:00.000,1812842,0.71,644828,0.66,87401,0.82,89137,0.83,9327,0.52,764686,0.96,2214,0.65
2022-12-27T00:00:00.000,2729514,0.51,1027687,0.51,178880,0.57,156503,0.56,21363,0.73,881989,1.00,5228,0.34
2022-12-28T00:00:00.000,2947028,0.55,1088279,0.54,182226,0.58,163499,0.59,23571,0.81,891790,1.01,5407,0.35
2022-12-29T00:00:00.000,3039432,0.57,1099513,0.55,189075,0.60,167129,0.60,23200,0.80,916565,1.03,5597,0.36
2022-12-30T00:00:00.000,3063480,0.57,1087122,0.54,193989,0.61,176215,0.63,22951,0.79,926881,1.05,5338,0.34
2022-12-31T00:00:00.000,1927101,0.58,651474,0.51,81590,0.64,81198,0.52,14090,0.82,686434,0.78,1847,0.37
2023-01-01T00:00:00.000,1675507,0.80,475226,0.52,67722,0.82,66309,0.73,11476,0.85,737533,1.08,1771,0.65
2023-01-02T00:00:00.000,1938154,0.93,739507,0.81,76247,0.92,72403,0.80,10136,0.75,692984,1.02,2671,0.98
2023-01-03T00:00:00.000,3175777,0.62,1268913,0.62,179109,0.59,167136,0.62,24868,0.88,815532,0.94,6853,0.42
2023-01-04T00:00:00.000,3413052,0.66,1391449,0.68,182834,0.61,170847,0.63,26848,0.95,839120,0.97,7282,0.44
2023-01-05T00:00:00.000,3428520,0.67,1378698,0.67,175278,0.58,166642,0.62,26808,0.95,859218,0.99,7042,0.43
2023-01-06T00:00:00.000,3229858,0.63,1319595,0.64,161259,0.53,142524,0.53,25824,0.91,873654,1.01,6050,0.37
2023-01-07T00:00:00.000,2116138,0.78,806981,0.67,87215,0.90,85244,0.66,14828,1.02,808570,1.06,2297,0.56
2023-01-08T00:00:00.000,1610764,0.77,628612,0.68,68647,0.83,64893,0.72,15157,1.12,739656,1.08,1529,0.56
2023-01-09T00:00:00.000,3145743,0.61,1353638,0.66,173594,0.57,157335,0.58,24923,0.88,829372,0.95,6629,0.40
2023-01-10T00:00:00.000,3469177,0.67,1412543,0.69,196817,0.65,179530,0.67,27309,0.97,859974,0.99,7414,0.45
2023-01-11T00:00:00.000,3508962,0.68,1421914,0.69,188904,0.63,174349,0.65,27991,0.99,864282,0.99,7166,0.44
2023-01-12T00:00:00.000,3472709,0.68,1364715,0.67,188850,0.62,168701,0.63,27119,0.96,881579,1.01,7150,0.44
2023-01-13T00:00:00.000,3270020,0.64,1345748,0.66,167475,0.55,147885,0.55,26085,0.92,922864,1.06,6042,0.37
