date,subways_total_estimated_ridership_x,subways_total_estimated_ridership_y
2020-03-01,2212965,1999608
2020-03-02,5329915,1476228
2020-03-03,5481103,3265971
2020-03-04,5498809,3596894
2020-03-05,5496453,3568413
2020-03-06,5189447,3770495
2020-03-07,2814637,3600504
2020-03-08,2120656,2291687
2020-03-09,4973513,1990479
2020-03-10,4867818,3481640
2020-03-11,4697122,3753299
2020-03-12,4149505,3835333
2020-03-13,3484996,3931499
2020-03-14,1670665,3710928
2020-03-15,1157711,2663493
2020-03-16,2178555,1865579
2020-03-17,1788786,3466978
2020-03-18,1625280,3763568
2020-03-19,1422112,3777173
2020-03-20,1309125,3726154
2020-03-21,619618,3270016
2020-03-22,408723,2577771
2020-03-23,709499,1967199
2020-03-24,741587,3381411
2020-03-25,690032,3586084
2020-03-26,680360,3563236
2020-03-27,656817,3187083
2020-03-28,332393,2738016
2020-03-29,263700,1411469
2020-03-30,545215,1008452
2020-03-31,508106,1812842
2020-04-01,513481,2729514
2020-04-02,485586,2947028
2020-04-03,483357,3039432
2020-04-04,282278,3063480
2020-04-05,227303,1927101
2020-04-06,445454,1675507
2020-04-07,434986,1938154
2020-04-08,427485,3175777
2020-04-09,404635,3413052
2020-04-10,400275,3428520
2020-04-11,257061,3229858
2020-04-12,198399,2116138
2020-04-13,363312,1610764
2020-04-14,430155,3145743
2020-04-15,419059,3469177
2020-04-16,420223,3508962
2020-04-17,432368,3472709
2020-04-18,254453,3270020
2020-04-19,224411,2072387
2020-04-20,437852,1705804
2020-04-21,422107,2172218
2020-04-22,458781,3451604
2020-04-23,453520,3603344
2020-04-24,443956,3492226
2020-04-25,295387,3375887
2020-04-26,218787,2137169
2020-04-27,462888,1593386
2020-04-28,489247,3135214
2020-04-29,477799,3566756
2020-04-30,465869,3511071
2020-05-01,494549,3629029
2020-05-02,325865,3335372
2020-05-03,258865,2248107
2020-05-04,511866,1637398
2020-05-05,522085,3223530
2020-05-06,508824,3654404
2020-05-07,535073,3682758
2020-05-08,526054,3699932
2020-05-09,316883,3189550
2020-05-10,271947,1742435
2020-05-11,520873,1625375
2020-05-12,553372,3372445
2020-05-13,565377,3738539
2020-05-14,567392,3780682
2020-05-15,587808,3754859
2020-05-16,360844,3539529
2020-05-17,287418,2333625
2020-05-18,595469,1746099
2020-05-19,610884,3303337
2020-05-20,623749,3812943
2020-05-21,629298,3762817
2020-05-22,633883,3683782
2020-05-23,335830,3253165
2020-05-24,320015,2271106
2020-05-25,393918,1824136
2020-05-26,656766,2238557
2020-05-27,674465,3325542
2020-05-28,658057,3454362
2020-05-29,657259,3498367
2020-05-30,426737,3246699
2020-05-31,344426,2043635
2020-06-01,687162,1625191
2020-06-02,693760,3337916
2020-06-03,681714,3412079
2020-06-04,726672,3780713
2020-06-05,703576,3765925
2020-06-06,464198,3481830
2020-06-07,377990,2173217
2020-06-08,804542,1772121
2020-06-09,842306,3427019
2020-06-10,857015,3773780
2020-06-11,818297,3842861
2020-06-12,896658,3827656
2020-06-13,545316,3502339
2020-06-14,430439,2230530
2020-06-15,897112,1773585
2020-06-16,932671,3352388
2020-06-17,948461,3577250
2020-06-18,942382,3912366
2020-06-19,986929,3949788
2020-06-20,576075,3661519
2020-06-21,449497,2417873
2020-06-22,1000046,1894476
2020-06-23,1050786,3442589
2020-06-24,1068333,3801084
2020-06-25,1078796,3797399
2020-06-26,1102382,3774396
2020-06-27,615398,3534300
2020-06-28,535898,2153554
2020-06-29,1100769,1939984
2020-06-30,1113124,3397258
2020-07-01,1120537,3765920
2020-07-02,1170483,3872948
2020-07-03,851877,3860289
2020-07-04,591605,3573735
2020-07-05,533692,2283533
2020-07-06,1084956,1949665
2020-07-07,1157185,3597785
2020-07-08,1172279,3906882
2020-07-09,1211280,3799965
2020-07-10,1030632,3421271
2020-07-11,692977,3130675
2020-07-12,628187,2393347
2020-07-13,1175700,1855826
2020-07-14,1241080,3142740
2020-07-15,1248413,3537843
2020-07-16,1249128,3576687
2020-07-17,1207265,3628304
2020-07-18,778936,3471420
2020-07-19,584994,2365464
2020-07-20,1156735,1864753
2020-07-21,1241819,3418834
2020-07-22,1233668,3862133
2020-07-23,1233795,3927706
2020-07-24,1218138,4002433
2020-07-25,816604,3492257
2020-07-26,606910,2506140
2020-07-27,1203503,1923243
2020-07-28,1241770,3561262
2020-07-29,1296102,3956922
2020-07-30,1270172,3994837
2020-07-31,1258539,3999831
2020-08-01,842468,3703088
2020-08-02,590060,2179978
2020-08-03,1272996,1744098
2020-08-04,1027187,3664755
2020-08-05,1348202,3961858
2020-08-06,1334694,4030601
2020-08-07,1283894,3985001
2020-08-08,833287,3759375
2020-08-09,662993,2563102
2020-08-10,1275268,2033790
2020-08-11,1319814,3563340
2020-08-12,1298963,3925555
2020-08-13,1291277,4014009
2020-08-14,1355786,4015942
2020-08-15,860789,3723192
2020-08-16,554451,2487178
2020-08-17,1304485,1926966
2020-08-18,1369617,3553443
2020-08-19,1292148,4002015
2020-08-20,1410489,4104786
2020-08-21,1387463,4082154
2020-08-22,882522,3789929
2020-08-23,671560,2314672
2020-08-24,1307345,2132724
2020-08-25,1346490,3571748
2020-08-26,1407639,3929003
2020-08-27,1358272,3960264
2020-08-28,1388583,3859385
2020-08-29,773667,3496511
2020-08-30,748061,2375741
2020-08-31,1397264,2029088
2020-09-01,1469274,1952779
2020-09-02,1487969,3714864
2020-09-03,1529185,3911382
2020-09-04,1568385,3894167
2020-09-05,1013725,3626490
2020-09-06,819409,2411704
2020-09-07,870964,1988330
2020-09-08,1555816,3544106
2020-09-09,1610076,3929131
2020-09-10,1543662,3743889
2020-09-11,1690334,3268529
2020-09-12,1083698,3425232
2020-09-13,796740,2608756
2020-09-14,1604381,2075651
2020-09-15,1678078,3479404
2020-09-16,1686909,3968160
2020-09-17,1692368,3893073
2020-09-18,1725443,3928393
2020-09-19,1136947,3395938
2020-09-20,827605,2399521
2020-09-21,1624139,1977582
2020-09-22,1698504,2636887
2020-09-23,1735333,3782810
2020-09-24,1722364,3902298
2020-09-25,1761591,3782472
2020-09-26,1120143,3470575
2020-09-27,846179,2467994
2020-09-28,1489240,2222704
2020-09-29,1661264,3341322
2020-09-30,1740820,3744227
2020-10-01,1809958,3634270
2020-10-02,1790612,3653631
2020-10-03,1168040,3259767
2020-10-04,852830,2239529
2020-10-05,1678792,1783757
2020-10-06,1758454,2662052
2020-10-07,1770617,1791179
2020-10-08,1798005,3318379
2020-10-09,1808079,3494806
2020-10-10,1170227,3292266
2020-10-11,848469,2308794
2020-10-12,1284655,1776607
2020-10-13,1715183,3208730
2020-10-14,1838682,3613670
2020-10-15,1853753,3696737
2020-10-16,1671320,3648007
2020-10-17,1209473,3209393
2020-10-18,896812,2326054
2020-10-19,1719153,1599858
2020-10-20,1780231,3282092
2020-10-21,1812949,3584819
2020-10-22,1825208,3679343
2020-10-23,1842588,3711017
2020-10-24,1185612,3227154
2020-10-25,885001,2459990
2020-10-26,1690651,1984503
2020-10-27,1815242,3255379
2020-10-28,1819352,3630414
2020-10-29,1705072,3758378
2020-10-30,1768018,3580012
2020-10-31,1174059,3266199
2020-11-01,786675,2251524
2020-11-02,1747908,1952433
2020-11-03,1602912,3204920
2020-11-04,1690489,3598379
2020-11-05,1793796,3640307
2020-11-06,1837314,3609076
2020-11-07,1246321,3228510
2020-11-08,927670,2364364
2020-11-09,1752614,1910841
2020-11-10,1836902,3041001
2020-11-11,1614812,3510047
2020-11-12,1776666,3613062
2020-11-13,1816693,3429304
2020-11-14,1215477,3311714
2020-11-15,820858,2366787
2020-11-16,1741750,1953558
2020-11-17,1788847,3092801
2020-11-18,1787688,3385996
2020-11-19,1757535,3447648
2020-11-20,1800423,3385056
2020-11-21,1157957,3182516
2020-11-22,817963,2358962
2020-11-23,1646525,1870625
2020-11-24,1735702,2971166
2020-11-25,1688227,3352769
2020-11-26,652276,3412842
2020-11-27,1263473,3297927
2020-11-28,1032823,3034255
2020-11-29,826974,2281885
2020-11-30,1459131,1909806
2020-12-01,1706348,3121505
2020-12-02,1699968,3401088
2020-12-03,1736045,3462970
2020-12-04,1701628,3450532
2020-12-05,1000240,3196284
2020-12-06,878393,2307416
2020-12-07,1656627,2013506
2020-12-08,1540893,1879819
2020-12-09,1701926,3483755
2020-12-10,1761336,3712071
2020-12-11,1786290,3867746
2020-12-12,1091352,3609701
2020-12-13,911439,2425515
2020-12-14,1584089,1822230
2020-12-15,1783388,3596538
2020-12-16,1569079,4014480
2020-12-17,1079818,3938516
2020-12-18,1735664,4045169
2020-12-19,1112827,3694845
2020-12-20,821265,2446139
2020-12-21,1716035,1988003
2020-12-22,1760948,3539047
2020-12-23,1772537,4140301
2020-12-24,1312480,4179861
2020-12-25,485208,4139288
2020-12-26,879170,3840412
2020-12-27,760350,2116140
2020-12-28,1510168,1701656
2020-12-29,1555198,2885921
2020-12-30,1582486,3946624
2020-12-31,1274984,4074930
2021-01-01,613692,4051444
2021-01-02,988418,2467295
2021-01-03,653187,2205573
2021-01-04,1557977,1995361
2021-01-05,1597518,3649389
2021-01-06,1613629,4008201
2021-01-07,1611099,4026878
2021-01-08,1619242,4030304
2021-01-09,990412,3639729
2021-01-10,763097,2199478
2021-01-11,1568207,2044534
2021-01-12,1640428,2833654
2021-01-13,1641652,3954925
2021-01-14,1647396,4056504
2021-01-15,1627120,4104598
2021-01-16,991500,3560964
2021-01-17,797654,2219786
2021-01-18,1276978,2013096
2021-01-19,1635915,3661144
2021-01-20,1575075,4021342
2021-01-21,1652842,4074460
2021-01-22,1672001,4121563
2021-01-23,997551,3616336
2021-01-24,741139,2438387
2021-01-25,1592468,1983271
2021-01-26,1550953,3667240
2021-01-27,1660278,4040571
2021-01-28,1646806,4120011
2021-01-29,1511680,4142420
2021-01-30,942615,3853546
2021-01-31,722853,2743759
2021-02-01,583230,1834459
2021-02-02,1005985,3623778
2021-02-03,1702598,4016482
2021-02-04,1785833,4043524
2021-02-05,1741015,4082807
2021-02-06,1148477,3808235
2021-02-07,652521,2588115
2021-02-08,1639753,2310457
2021-02-09,1666467,3686141
2021-02-10,1750121,3655078
2021-02-11,1714656,4066029
2021-02-12,1706430,4020939
2021-02-13,1092063,3611367
2021-02-14,858014,2588540
2021-02-15,1218593,1947270
2021-02-16,1627528,3597029
2021-02-17,1733160,3991767
2021-02-18,1381886,4036442
2021-02-19,1566021,4048862
2021-02-20,1110589,3741391
2021-02-21,836095,2477547
2021-02-22,1582054,1943926
2021-02-23,1730198,3647283
2021-02-24,1806306,3774952
2021-02-25,1798165,3378351
2021-02-26,1822812,1628385
2021-02-27,1072932,2457591
2021-02-28,810071,2123590
2021-03-01,1696274,1686490
2021-03-02,1749511,3523494
2021-03-03,1846431,3916476
2021-03-04,1808744,4032882
2021-03-05,1825915,4072271
2021-03-06,1167884,3723171
2021-03-07,894119,2748170
2021-03-08,1719586,1827959
2021-03-09,1834068,3709458
2021-03-10,1849077,3991835
2021-03-11,1881902,4116059
2021-03-12,1914465,4088438
2021-03-13,1257372,3863961
2021-03-14,923968,2922085
2021-03-15,1730024,1838048
2021-03-16,1798288,3642743
2021-03-17,1866414,4051574
2021-03-18,1771092,4067457
2021-03-19,1906749,4122091
2021-03-20,1307403,3845234
2021-03-21,1013386,2866544
2021-03-22,1801438,1954707
2021-03-23,1879574,3314782
2021-03-24,1828084,3912934
2021-03-25,1925768,3838407
2021-03-26,1938246,3675448
2021-03-27,1374266,3372318
2021-03-28,807247,2244175
2021-03-29,1742162,1657096
2021-03-30,1881537,1273729
2021-03-31,1808546,2668642
2021-04-01,1841815,2912007
2021-04-02,1757698,3064841
2021-04-03,1318461,3198885
2021-04-04,950194,2440211
2021-04-05,1818703,1934651
2021-04-06,1942198,1648734
2021-04-07,1985370,3290639
2021-04-08,2013413,3555082
2021-04-09,2026724,3560703
2021-04-10,1391245,3263064
2021-04-11,899646,1942458
2021-04-12,1845836,1472438
2021-04-13,2012153,3303727
2021-04-14,2018126,3353192
2021-04-15,1906733,3557166
2021-04-16,2078856,3688916
2021-04-17,1425036,3365791
2021-04-18,1082503,2167383
2021-04-19,1911326,1743556
2021-04-20,2082495,2169917
2021-04-21,1965922,3235935
2021-04-22,2040232,3616923
2021-04-23,2121350,3655850
2021-04-24,1520057,3176408
2021-04-25,985027,2024041
2021-04-26,1955370,1576126
2021-04-27,2041698,3305387
2021-04-28,2135793,3652488
2021-04-29,2028524,3666907
2021-04-30,2159476,3681867
2021-05-01,1515211,3380816
2021-05-02,1153471,2283244
2021-05-03,1971010,1549077
2021-05-04,2120071,3297571
2021-05-05,2074543,3717520
2021-05-06,2199943,3808584
2021-05-07,2238033,3814682
2021-05-08,1444674,3457807
2021-05-09,1107878,2324038
2021-05-10,1990039,1742107
2021-05-11,2148322,3481777
2021-05-12,2182277,3857533
2021-05-13,2163052,3900992
2021-05-14,2266974,3903673
2021-05-15,1637231,3547321
2021-05-16,1201904,2385448
2021-05-17,2022584,1774698
2021-05-18,2150049,3374596
2021-05-19,2257549,2273584
2021-05-20,2269471,3963628
2021-05-21,2331876,3874860
2021-05-22,1645268,3504536
2021-05-23,1268928,2178047
2021-05-24,2118877,1850840
2021-05-25,2270945,2244741
2021-05-26,2275882,3490990
2021-05-27,2352019,3591484
2021-05-28,2232599,3588173
2021-05-29,1370135,3219121
2021-05-30,1065176,2308808
2021-05-31,1389651,1740477
2021-06-01,2258831,3439079
2021-06-02,2343745,3802458
2021-06-03,2233917,3784177
2021-06-04,2310032,3905888
2021-06-05,1792204,3573658
2021-06-06,1363344,2094029
2021-06-07,2223265,1961510
2021-06-08,2265591,3539671
2021-06-09,2386026,3819514
2021-06-10,2473818,3865589
2021-06-11,2468258,3893731
2021-06-12,1775538,3685219
2021-06-13,1379959,2128635
2021-06-14,2223186,1803578
2021-06-15,2469785,3497588
2021-06-16,2519444,3988438
2021-06-17,2552497,4024943
2021-06-18,2572013,4049186
2021-06-19,1784312,3643013
2021-06-20,1389352,2553056
2021-06-21,2264368,1972170
2021-06-22,2354873,3482565
2021-06-23,2547416,3869116
2021-06-24,2552639,3886104
2021-06-25,2582713,3862248
2021-06-26,1854179,3581959
2021-06-27,1559967,1863863
2021-06-28,2252362,1912946
2021-06-29,2343739,3583716
2021-06-30,2346388,3969793
2021-07-01,2292461,4014011
2021-07-02,2296044,3910547
2021-07-03,1541988,3372535
2021-07-04,1468510,2526569
2021-07-05,1495709,1936295
2021-07-06,2302002,3321989
2021-07-07,2437064,3900061
2021-07-08,2364250,3890305
2021-07-09,2318387,4100733
2021-07-10,1781717,3800800
2021-07-11,1365854,2477127
2021-07-12,2245412,1899641
2021-07-13,2457526,3506719
2021-07-14,2517615,4042674
2021-07-15,2581582,3791945
2021-07-16,2536569,4000485
2021-07-17,1717480,3668439
2021-07-18,1405344,2535112
2021-07-19,2327756,2068885
2021-07-20,2462002,3704177
2021-07-21,2504568,4033514
