col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,Date_Occurred,Division,col_10,Wday_Wnd,Incident_Type,Incident_Count
0,1,2,3,4.0,5,6.0,7,8,9,10,11,12,13
row-f4kz.8qzg.jhvk,00000000-0000-0000-ED44-D973E3E5346F,0,1737737453,,1737737453,,{ },2020-01-01T00:00:00,A DIVISION,1,1,Other,1
row-zq7k.tyyh~yuxn,00000000-0000-0000-AF88-EDF16CB6F6DC,0,1737737453,,1737737453,,{ },2020-01-01T00:00:00,A DIVISION,2,1,Persons on Trackbed/Police/Medical,1
row-8iuj~d9im-eabu,00000000-0000-0000-EEC4-23ECD08A3528,0,1737737453,,1737737453,,{ },2020-01-01T00:00:00,A DIVISION,2,2,Other,1
row-r8mt-6quh~qcfh,00000000-0000-0000-36BF-2C6EE41FAF55,0,1737737453,,1737737453,,{ },2020-01-01T00:00:00,A DIVISION,3,1,Persons on Trackbed/Police/Medical,1
row-d5jf-habt~z7a9,00000000-0000-0000-E952-2E6DA74BB277,0,1737737453,,1737737453,,{ },2020-01-01T00:00:00,A DIVISION,3,1,Signals,2
row-ihmt_u2pa_hiky,00000000-0000-0000-9486-44F22423C5DD,0,1737737453,,1737737453,,{ },2020-01-01T00:00:00,A DIVISION,4,2,Persons on Trackbed/Police/Medical,1
row-9d7h~peva~7qkc,00000000-0000-0000-7928-4FA8F1319F93,0,1737737453,,1737737453,,{ },2020-01-01T00:00:00,A DIVISION,5,1,Persons on Trackbed/Police/Medical,1
row-wuw5~yb9j~f3dr,00000000-0000-0000-1D46-D79D02F17E30,0,1737737453,,1737737453,,{ },2020-01-01T00:00:00,A DIVISION,6,1,Persons on Trackbed/Police/Medical,1
row-dkdc.yy66-ek24,00000000-0000-0000-0B25-EA2CC81661A6,0,1737737453,,1737737453,,{ },2020-01-01T00:00:00,A DIVISION,6,1,Signals,1
row-g5pc_9fwz~fsr3,00000000-0000-0000-2092-363373B441F7,0,1737737453,,1737737453,,{ },2020-01-01T00:00:00,A DIVISION,6,1,Track,1
row-ddez_4sx5.x7ns,00000000-0000-0000-CBEF-F982CEECFEE9,0,1737737453,,1737737453,,{ },2020-01-01T00:00:00,A DIVISION,7,1,Persons on Trackbed/Police/Medical,1
row-k8fv_bqnn.p6b3,00000000-0000-0000-CE7D-A985EEFB6C23,0,1737737453,,1737737453,,{ },2020-01-01T00:00:00,A DIVISION,7,1,Signals,1
row-kq6j_qdx7_9k4y,00000000-0000-0000-FF79-F6EC372DB654,0,1737737453,,1737737453,,{ },2020-01-01T00:00:00,A DIVISION,7,1,Subway Car,1
row-gu5v~euvt-iry9,00000000-0000-0000-3CBD-483DA7849BFB,0,1737737453,,1737737453,,{ },2020-01-01T00:00:00,B DIVISION,B,1,Other,1
row-uz2r~dzeq~3b6h,00000000-0000-0000-E935-A1D2D5D7F644,0,1737737453,,1737737453,,{ },2020-01-01T00:00:00,B DIVISION,B,1,Persons on Trackbed/Police/Medical,1
row-enav~xzwe.7zjf,00000000-0000-0000-F28D-0C9BFBFA224B,0,1737737453,,1737737453,,{ },2020-01-01T00:00:00,B DIVISION,C,1,Persons on Trackbed/Police/Medical,1
row-a4ex.yh94.shxh,00000000-0000-0000-4124-A99C7E089A31,0,1737737453,,1737737453,,{ },2020-01-01T00:00:00,B DIVISION,D,1,Persons on Trackbed/Police/Medical,1
row-2c2h~27rm~7ais,00000000-0000-0000-6A60-E5CF03261829,0,1737737453,,1737737453,,{ },2020-01-01T00:00:00,B DIVISION,D,1,Track,1
row-vny5_73z9.ycf4,00000000-0000-0000-BEED-6D73CE238297,0,1737737453,,1737737453,,{ },2020-01-01T00:00:00,B DIVISION,D,2,Other,1
row-xj3r-56rk-qqft,00000000-0000-0000-726B-0656DB8A9F6E,0,1737737453,,1737737453,,{ },2020-01-01T00:00:00,B DIVISION,D,2,Persons on Trackbed/Police/Medical,1
row-4a7t_ibbc_ajb4,00000000-0000-0000-B119-06AA3BD77FB1,0,1737737453,,1737737453,,{ },2020-01-01T00:00:00,B DIVISION,E,1,Signals,1
row-xy36.pfqs.hm2x,00000000-0000-0000-DAB2-68042CA101EA,0,1737737453,,1737737453,,{ },2020-01-01T00:00:00,B DIVISION,E,2,Track,1
row-7a43_gq9h_2nap,00000000-0000-0000-2093-2401D2DA0873,0,1737737453,,1737737453,,{ },2020-01-01T00:00:00,B DIVISION,F,1,Signals,2
row-z3xw~7uu4-pxgc,00000000-0000-0000-605C-04D6E6FF1C3E,0,1737737453,,1737737453,,{ },2020-01-01T00:00:00,B DIVISION,JZ,1,Other,1
